-0.49950 1.00000 0.00000 1.00000
-0.49850 -nan -nan -nan
-0.49750 -nan -nan -nan
-0.49650 -nan -nan -nan
-0.49550 -nan -nan -nan
-0.49450 -nan -nan -nan
-0.49350 -nan -nan -nan
-0.49250 -nan -nan -nan
-0.49150 -nan -nan -nan
-0.49050 -nan -nan -nan
-0.48950 -nan -nan -nan
-0.48850 -nan -nan -nan
-0.48750 -nan -nan -nan
-0.48650 -nan -nan -nan
-0.48550 -nan -nan -nan
-0.48450 -nan -nan -nan
-0.48350 -nan -nan -nan
-0.48250 -nan -nan -nan
-0.48150 -nan -nan -nan
-0.48050 -nan -nan -nan
-0.47950 -nan -nan -nan
-0.47850 -nan -nan -nan
-0.47750 -nan -nan -nan
-0.47650 -nan -nan -nan
-0.47550 -nan -nan -nan
-0.47450 -nan -nan -nan
-0.47350 -nan -nan -nan
-0.47250 -nan -nan -nan
-0.47150 -nan -nan -nan
-0.47050 -nan -nan -nan
-0.46950 -nan -nan -nan
-0.46850 -nan -nan -nan
-0.46750 -nan -nan -nan
-0.46650 -nan -nan -nan
-0.46550 -nan -nan -nan
-0.46450 -nan -nan -nan
-0.46350 -nan -nan -nan
-0.46250 -nan -nan -nan
-0.46150 -nan -nan -nan
-0.46050 -nan -nan -nan
-0.45950 -nan -nan -nan
-0.45850 -nan -nan -nan
-0.45750 -nan -nan -nan
-0.45650 -nan -nan -nan
-0.45550 -nan -nan -nan
-0.45450 -nan -nan -nan
-0.45350 -nan -nan -nan
-0.45250 -nan -nan -nan
-0.45150 -nan -nan -nan
-0.45050 -nan -nan -nan
-0.44950 -nan -nan -nan
-0.44850 -nan -nan -nan
-0.44750 -nan -nan -nan
-0.44650 -nan -nan -nan
-0.44550 -nan -nan -nan
-0.44450 -nan -nan -nan
-0.44350 -nan -nan -nan
-0.44250 -nan -nan -nan
-0.44150 -nan -nan -nan
-0.44050 -nan -nan -nan
-0.43950 -nan -nan -nan
-0.43850 -nan -nan -nan
-0.43750 -nan -nan -nan
-0.43650 -nan -nan -nan
-0.43550 -nan -nan -nan
-0.43450 -nan -nan -nan
-0.43350 -nan -nan -nan
-0.43250 -nan -nan -nan
-0.43150 -nan -nan -nan
-0.43050 -nan -nan -nan
-0.42950 -nan -nan -nan
-0.42850 -nan -nan -nan
-0.42750 -nan -nan -nan
-0.42650 -nan -nan -nan
-0.42550 -nan -nan -nan
-0.42450 -nan -nan -nan
-0.42350 -nan -nan -nan
-0.42250 -nan -nan -nan
-0.42150 -nan -nan -nan
-0.42050 -nan -nan -nan
-0.41950 -nan -nan -nan
-0.41850 -nan -nan -nan
-0.41750 -nan -nan -nan
-0.41650 -nan -nan -nan
-0.41550 -nan -nan -nan
-0.41450 -nan -nan -nan
-0.41350 -nan -nan -nan
-0.41250 -nan -nan -nan
-0.41150 -nan -nan -nan
-0.41050 -nan -nan -nan
-0.40950 -nan -nan -nan
-0.40850 -nan -nan -nan
-0.40750 -nan -nan -nan
-0.40650 -nan -nan -nan
-0.40550 -nan -nan -nan
-0.40450 -nan -nan -nan
-0.40350 -nan -nan -nan
-0.40250 -nan -nan -nan
-0.40150 -nan -nan -nan
-0.40050 -nan -nan -nan
-0.39950 -nan -nan -nan
-0.39850 -nan -nan -nan
-0.39750 -nan -nan -nan
-0.39650 -nan -nan -nan
-0.39550 -nan -nan -nan
-0.39450 -nan -nan -nan
-0.39350 -nan -nan -nan
-0.39250 -nan -nan -nan
-0.39150 -nan -nan -nan
-0.39050 -nan -nan -nan
-0.38950 -nan -nan -nan
-0.38850 -nan -nan -nan
-0.38750 -nan -nan -nan
-0.38650 -nan -nan -nan
-0.38550 -nan -nan -nan
-0.38450 -nan -nan -nan
-0.38350 -nan -nan -nan
-0.38250 -nan -nan -nan
-0.38150 -nan -nan -nan
-0.38050 -nan -nan -nan
-0.37950 -nan -nan -nan
-0.37850 -nan -nan -nan
-0.37750 -nan -nan -nan
-0.37650 -nan -nan -nan
-0.37550 -nan -nan -nan
-0.37450 -nan -nan -nan
-0.37350 -nan -nan -nan
-0.37250 -nan -nan -nan
-0.37150 -nan -nan -nan
-0.37050 -nan -nan -nan
-0.36950 -nan -nan -nan
-0.36850 -nan -nan -nan
-0.36750 -nan -nan -nan
-0.36650 -nan -nan -nan
-0.36550 -nan -nan -nan
-0.36450 -nan -nan -nan
-0.36350 -nan -nan -nan
-0.36250 -nan -nan -nan
-0.36150 -nan -nan -nan
-0.36050 -nan -nan -nan
-0.35950 -nan -nan -nan
-0.35850 -nan -nan -nan
-0.35750 -nan -nan -nan
-0.35650 -nan -nan -nan
-0.35550 -nan -nan -nan
-0.35450 -nan -nan -nan
-0.35350 -nan -nan -nan
-0.35250 -nan -nan -nan
-0.35150 -nan -nan -nan
-0.35050 -nan -nan -nan
-0.34950 -nan -nan -nan
-0.34850 -nan -nan -nan
-0.34750 -nan -nan -nan
-0.34650 -nan -nan -nan
-0.34550 -nan -nan -nan
-0.34450 -nan -nan -nan
-0.34350 -nan -nan -nan
-0.34250 -nan -nan -nan
-0.34150 -nan -nan -nan
-0.34050 -nan -nan -nan
-0.33950 -nan -nan -nan
-0.33850 -nan -nan -nan
-0.33750 -nan -nan -nan
-0.33650 -nan -nan -nan
-0.33550 -nan -nan -nan
-0.33450 -nan -nan -nan
-0.33350 -nan -nan -nan
-0.33250 -nan -nan -nan
-0.33150 -nan -nan -nan
-0.33050 -nan -nan -nan
-0.32950 -nan -nan -nan
-0.32850 -nan -nan -nan
-0.32750 -nan -nan -nan
-0.32650 -nan -nan -nan
-0.32550 -nan -nan -nan
-0.32450 -nan -nan -nan
-0.32350 -nan -nan -nan
-0.32250 -nan -nan -nan
-0.32150 -nan -nan -nan
-0.32050 -nan -nan -nan
-0.31950 -nan -nan -nan
-0.31850 -nan -nan -nan
-0.31750 -nan -nan -nan
-0.31650 -nan -nan -nan
-0.31550 -nan -nan -nan
-0.31450 -nan -nan -nan
-0.31350 -nan -nan -nan
-0.31250 -nan -nan -nan
-0.31150 -nan -nan -nan
-0.31050 -nan -nan -nan
-0.30950 -nan -nan -nan
-0.30850 -nan -nan -nan
-0.30750 -nan -nan -nan
-0.30650 -nan -nan -nan
-0.30550 -nan -nan -nan
-0.30450 -nan -nan -nan
-0.30350 -nan -nan -nan
-0.30250 -nan -nan -nan
-0.30150 -nan -nan -nan
-0.30050 -nan -nan -nan
-0.29950 -nan -nan -nan
-0.29850 -nan -nan -nan
-0.29750 -nan -nan -nan
-0.29650 -nan -nan -nan
-0.29550 -nan -nan -nan
-0.29450 -nan -nan -nan
-0.29350 -nan -nan -nan
-0.29250 -nan -nan -nan
-0.29150 -nan -nan -nan
-0.29050 -nan -nan -nan
-0.28950 -nan -nan -nan
-0.28850 -nan -nan -nan
-0.28750 -nan -nan -nan
-0.28650 -nan -nan -nan
-0.28550 -nan -nan -nan
-0.28450 -nan -nan -nan
-0.28350 -nan -nan -nan
-0.28250 -nan -nan -nan
-0.28150 -nan -nan -nan
-0.28050 -nan -nan -nan
-0.27950 -nan -nan -nan
-0.27850 -nan -nan -nan
