x      	rho    	u      	p      
0      	1      	0      	1      
0.02   	0.97919	0.16412	0.75423
0.04   	0.96845	0.16167	0.75461
0.06   	0.9686 	0.16167	0.75462
0.08   	0.9686 	0.16167	0.75462
0.1    	0.9686 	0.16167	0.75462
0.12   	0.9686 	0.16167	0.75462
0.14   	0.9686 	0.16167	0.75462
0.16   	0.9686 	0.16167	0.75462
0.18   	0.9686 	0.16167	0.75462
0.2    	0.9686 	0.16167	0.75462
0.22   	0.9686 	0.16167	0.75462
0.24   	0.9686 	0.16167	0.75462
0.26   	0.9686 	0.16167	0.75462
0.28   	0.9686 	0.16167	0.75462
0.3    	0.9686 	0.16167	0.75462
0.32   	0.9686 	0.16167	0.75462
0.34   	0.9686 	0.16167	0.75462
0.36   	0.9686 	0.16167	0.75462
0.38   	0.9686 	0.16167	0.75462
0.4    	0.9686 	0.16167	0.75462
0.42   	0.9686 	0.16167	0.75462
0.44   	0.9686 	0.16167	0.75462
0.46   	0.9686 	0.16167	0.75462
0.48   	0.9686 	0.16167	0.75462
0.5    	0.9686 	0.16167	0.75462
0.52   	0.9686 	0.16167	0.75462
0.54   	0.9686 	0.16167	0.75462
0.56   	0.9686 	0.16167	0.75462
0.58   	0.9686 	0.16167	0.75462
0.6    	0.9686 	0.16167	0.75462
0.62   	0.9686 	0.16167	0.75462
0.64   	0.9686 	0.16167	0.75462
0.66   	0.9686 	0.16167	0.75462
0.68   	0.9686 	0.16167	0.75462
0.7    	0.9686 	0.16167	0.75462
0.72   	0.9686 	0.16166	0.75463
0.74   	0.9686 	0.16163	0.7547 
0.76   	0.96865	0.16179	0.75458
0.78   	0.96868	0.16309	0.75342
0.8    	0.96668	0.16103	0.75459
0.82   	0.96416	0.13507	0.76076
0.84   	-nan   	-nan   	-nan   
0.86   	-nan   	-nan   	-nan   
0.88   	-nan   	-nan   	-nan   
0.9    	-nan   	-nan   	-nan   
0.92   	-nan   	-nan   	-nan   
0.94   	-nan   	-nan   	-nan   
0.96   	-nan   	-nan   	-nan   
0.98   	-nan   	-nan   	-nan   
1      	-nan   	-nan   	-nan   
1.02   	-nan   	-nan   	-nan   
1.04   	0.12358	0.0069735	0.097982
1.06   	0.12358	0.0069737	0.097983
1.08   	0.12358	0.0069737	0.097983
1.1    	0.12358	0.0069737	0.097983
1.12   	0.12358	0.0069737	0.097983
1.14   	0.12358	0.0069737	0.097983
1.16   	0.12358	0.0069737	0.097983
1.18   	0.12358	0.0069737	0.097983
1.2    	0.12358	0.0069737	0.097983
1.22   	0.12358	0.0069737	0.097983
1.24   	0.12358	0.0069737	0.097983
1.26   	0.12358	0.0069737	0.097983
1.28   	0.12358	0.0069737	0.097983
1.3    	0.12358	0.0069736	0.097983
1.32   	0.12358	0.0069739	0.097983
1.34   	0.12358	0.0069773	0.097983
1.36   	0.12357	0.0069682	0.097983
1.38   	0.12358	0.0068324	0.097971
1.4    	0.12361	0.0069428	0.097975
1.42   	0.12357	0.0082644	0.098102
1.44   	0.12361	0.0086504	0.098186
1.46   	0.12415	0.0033888	0.097281
1.48   	0.12235	-0.0014748	0.095976
1.5    	0.12265	-0.00080585	0.096111
1.52   	-nan   	-nan   	-nan   
1.54   	-nan   	-nan   	-nan   
1.56   	-nan   	-nan   	-nan   
1.58   	-nan   	-nan   	-nan   
1.6    	-nan   	-nan   	-nan   
1.62   	-nan   	-nan   	-nan   
1.64   	-nan   	-nan   	-nan   
1.66   	-nan   	-nan   	-nan   
1.68   	-nan   	-nan   	-nan   
1.7    	-nan   	-nan   	-nan   
1.72   	-nan   	-nan   	-nan   
1.74   	-nan   	-nan   	-nan   
1.76   	-nan   	-nan   	-nan   
1.78   	-nan   	-nan   	-nan   
1.8    	-nan   	-nan   	-nan   
1.82   	-nan   	-nan   	-nan   
1.84   	-nan   	-nan   	-nan   
1.86   	-nan   	-nan   	-nan   
1.88   	-nan   	-nan   	-nan   
1.9    	-nan   	-nan   	-nan   
1.92   	-nan   	-nan   	-nan   
1.94   	-nan   	-nan   	-nan   
1.96   	-nan   	-nan   	-nan   
1.98   	0.125  	0      	0.1    
2      	0.125  	0      	0.1    
