x       y       Ma
0.00000 0.00000 1.80000
0.00000 0.00300 1.80000
0.00000 0.00600 1.80000
0.00000 0.00900 1.80000
0.00000 0.01200 1.80000
0.00000 0.01500 1.80000
0.00000 0.01800 1.80000
0.00000 0.02100 1.80000
0.00000 0.02400 1.80000
0.00000 0.02700 1.80000
0.00000 0.03000 1.80000
0.00000 0.03300 1.80000
0.00000 0.03600 1.80000
0.00000 0.03900 1.80000
0.00000 0.04200 1.80000
0.00000 0.04500 1.80000
0.00000 0.04800 1.80000
0.00000 0.05100 1.80000
0.00000 0.05400 1.80000
0.00000 0.05700 1.80000
0.00000 0.06000 1.80000
0.00000 0.06300 1.80000
0.00000 0.06600 1.80000
0.00000 0.06900 1.80000
0.00000 0.07200 1.80000
0.00000 0.07500 1.80000
0.00000 0.07800 1.80000
0.00000 0.08100 1.80000
0.00000 0.08400 1.80000
0.00000 0.08700 1.80000
0.00000 0.09000 1.80000
0.00000 0.09300 1.80000
0.00000 0.09600 1.80000
0.00000 0.09900 1.80000
0.00000 0.10200 1.80000
0.00000 0.10500 1.80000
0.00000 0.10800 1.80000
0.00000 0.11100 1.80000
0.00000 0.11400 1.80000
0.00000 0.11700 1.80000
0.00000 0.12000 1.80000
0.00000 0.12300 1.80000
0.00000 0.12600 1.80000
0.00000 0.12900 1.80000
0.00000 0.13200 1.80000
0.00000 0.13500 1.80000
0.00000 0.13800 1.80000
0.00000 0.14100 1.80000
0.00000 0.14400 1.80000
0.00000 0.14700 1.80000
0.00000 0.15000 1.80000
0.00000 0.15300 1.80000
0.00000 0.15600 1.80000
0.00000 0.15900 1.80000
0.00000 0.16200 1.80000
0.00000 0.16500 1.80000
0.00000 0.16800 1.80000
0.00000 0.17100 1.80000
0.00000 0.17400 1.80000
0.00000 0.17700 1.80000
0.00000 0.18000 1.80000
0.00000 0.18300 1.80000
0.00000 0.18600 1.80000
0.00000 0.18900 1.80000
0.00000 0.19200 1.80000
0.00000 0.19500 1.80000
0.00000 0.19800 1.80000
0.00000 0.20100 1.80000
0.00000 0.20400 1.80000
0.00000 0.20700 1.80000
0.00000 0.21000 1.80000
0.00000 0.21300 1.80000
0.00000 0.21600 1.80000
0.00000 0.21900 1.80000
0.00000 0.22200 1.80000
0.00000 0.22500 1.80000
0.00000 0.22800 1.80000
0.00000 0.23100 1.80000
0.00000 0.23400 1.80000
0.00000 0.23700 1.80000
0.00000 0.24000 1.80000
0.00000 0.24300 1.80000
0.00000 0.24600 1.80000
0.00000 0.24900 1.80000
0.00000 0.25200 1.80000
0.00000 0.25500 1.80000
0.00000 0.25800 1.80000
0.00000 0.26100 1.80000
0.00000 0.26400 1.80000
0.00000 0.26700 1.80000
0.00000 0.27000 1.80000
0.00000 0.27300 1.80000
0.00000 0.27600 1.80000
0.00000 0.27900 1.80000
0.00000 0.28200 1.80000
0.00000 0.28500 1.80000
0.00000 0.28800 1.80000
0.00000 0.29100 1.80000
0.00000 0.29400 1.80000
0.00000 0.29700 1.80000
