x    y    pressure
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.00 -nan
0.00 0.03 -nan
0.00 0.06 -nan
0.00 0.09 -nan
0.00 0.12 -nan
0.00 0.15 -nan
0.00 0.18 -nan
0.00 0.21 -nan
0.00 0.24 -nan
0.00 0.27 -nan
0.00 0.00 -nan
0.02 0.00 -nan
0.02 0.03 -nan
0.02 0.06 -nan
0.02 0.09 -nan
0.02 0.12 -nan
0.02 0.15 -nan
0.02 0.18 -nan
0.02 0.21 -nan
0.02 0.24 -nan
0.02 0.27 -nan
0.00 0.00 -nan
0.04 0.00 -nan
0.04 0.03 -nan
0.04 0.06 -nan
0.04 0.09 -nan
0.04 0.12 -nan
0.04 0.15 -nan
0.04 0.18 -nan
0.04 0.21 -nan
0.04 0.24 -nan
0.04 0.27 -nan
0.00 0.00 -nan
0.06 0.00 -nan
0.06 0.03 -nan
0.06 0.06 -nan
0.06 0.09 -nan
0.06 0.12 -nan
0.06 0.15 -nan
0.06 0.18 -nan
0.06 0.21 -nan
0.06 0.24 -nan
0.06 0.27 -nan
0.00 0.00 -nan
0.08 0.00 -nan
0.08 0.03 -nan
0.08 0.06 -nan
0.08 0.09 -nan
0.08 0.12 -nan
0.08 0.15 -nan
0.08 0.18 -nan
0.08 0.21 -nan
0.08 0.24 -nan
0.08 0.27 -nan
0.00 0.00 -nan
0.10 0.00 -nan
0.10 0.03 -nan
0.10 0.06 -nan
0.10 0.09 -nan
0.10 0.12 -nan
0.10 0.15 -nan
0.10 0.18 -nan
0.10 0.21 -nan
0.10 0.24 -nan
0.10 0.27 -nan
0.00 0.00 -nan
0.12 0.00 -nan
0.12 0.03 -nan
0.12 0.06 -nan
0.12 0.09 -nan
0.12 0.12 -nan
0.12 0.15 -nan
0.12 0.18 -nan
0.12 0.21 -nan
0.12 0.24 -nan
0.12 0.27 -nan
0.00 0.00 -nan
0.14 0.00 -nan
0.14 0.03 -nan
0.14 0.06 -nan
0.14 0.09 -nan
0.14 0.12 -nan
0.14 0.15 -nan
0.14 0.18 -nan
0.14 0.21 -nan
0.14 0.24 -nan
0.14 0.27 -nan
0.00 0.00 -nan
0.16 0.00 -nan
0.16 0.03 -nan
0.16 0.06 -nan
0.16 0.09 -nan
0.16 0.12 -nan
0.16 0.15 -nan
0.16 0.18 -nan
0.16 0.21 -nan
0.16 0.24 -nan
0.16 0.27 -nan
0.00 0.00 -nan
0.18 0.00 -nan
0.18 0.03 -nan
0.18 0.06 -nan
0.18 0.09 -nan
0.18 0.12 -nan
0.18 0.15 -nan
0.18 0.18 -nan
0.18 0.21 -nan
0.18 0.24 -nan
0.18 0.27 -nan
0.00 0.00 -nan
0.20 0.00 -nan
0.20 0.03 -nan
0.20 0.06 -nan
0.20 0.09 -nan
0.20 0.12 -nan
0.20 0.15 -nan
0.20 0.18 -nan
0.20 0.21 -nan
0.20 0.24 -nan
0.20 0.27 -nan
0.00 0.00 -nan
0.22 0.00 -nan
0.22 0.03 -nan
0.22 0.06 -nan
0.22 0.09 -nan
0.22 0.12 -nan
0.22 0.15 -nan
0.22 0.18 -nan
0.22 0.21 -nan
0.22 0.24 -nan
0.22 0.27 -nan
0.00 0.00 -nan
0.24 0.01 -nan
0.24 0.04 -nan
0.24 0.07 -nan
0.24 0.10 -nan
0.24 0.13 -nan
0.24 0.15 -nan
0.24 0.18 -nan
0.24 0.21 -nan
0.24 0.24 -nan
0.24 0.27 -nan
0.00 0.00 -nan
0.26 0.01 -nan
0.26 0.04 -nan
0.26 0.07 -nan
0.26 0.10 -nan
0.26 0.13 -nan
0.26 0.16 -nan
0.26 0.19 -nan
0.26 0.21 -nan
0.26 0.24 -nan
0.26 0.27 -nan
0.00 0.00 -nan
0.28 0.02 -nan
0.28 0.05 -nan
0.28 0.08 -nan
0.28 0.10 -nan
0.28 0.13 -nan
0.28 0.16 -nan
0.28 0.19 -nan
0.28 0.22 -nan
0.28 0.24 -nan
0.28 0.27 -nan
0.00 0.00 -nan
0.30 0.02 -nan
0.30 0.05 -nan
0.30 0.08 -nan
0.30 0.11 -nan
0.30 0.14 -nan
0.30 0.16 -nan
0.30 0.19 -nan
0.30 0.22 -nan
0.30 0.25 -nan
0.30 0.27 -nan
0.00 0.00 -nan
0.32 0.03 -nan
0.32 0.06 -nan
0.32 0.08 -nan
0.32 0.11 -nan
0.32 0.14 -nan
0.32 0.17 -nan
0.32 0.19 -nan
0.32 0.22 -nan
0.32 0.25 -nan
0.32 0.27 -nan
0.00 0.00 -nan
0.34 0.04 -nan
0.34 0.06 -nan
0.34 0.09 -nan
0.34 0.11 -nan
0.34 0.14 -nan
0.34 0.17 -nan
0.34 0.19 -nan
0.34 0.22 -nan
0.34 0.25 -nan
0.34 0.27 -nan
0.00 0.00 -nan
0.36 0.04 -nan
0.36 0.07 -nan
0.36 0.09 -nan
0.36 0.12 -nan
0.36 0.14 -nan
0.36 0.17 -nan
0.36 0.20 -nan
0.36 0.22 -nan
0.36 0.25 -nan
0.36 0.27 -nan
0.00 0.00 -nan
0.38 0.04 -nan
0.38 0.07 -nan
0.38 0.10 -nan
0.38 0.12 -nan
0.38 0.15 -nan
0.38 0.17 -nan
0.38 0.20 -nan
0.38 0.22 -nan
0.38 0.25 -nan
0.38 0.27 -nan
0.00 0.00 -nan
0.40 0.05 -nan
0.40 0.08 -nan
0.40 0.10 -nan
0.40 0.12 -nan
0.40 0.15 -nan
0.40 0.17 -nan
0.40 0.20 -nan
0.40 0.23 -nan
0.40 0.25 -nan
0.40 0.28 -nan
0.00 0.00 -nan
0.42 0.05 -nan
0.42 0.08 -nan
0.42 0.10 -nan
0.42 0.12 -nan
0.42 0.15 -nan
0.42 0.17 -nan
0.42 0.20 -nan
0.42 0.23 -nan
0.42 0.25 -nan
0.42 0.28 -nan
0.00 0.00 -nan
0.44 0.05 -nan
0.44 0.08 -nan
0.44 0.10 -nan
0.44 0.12 -nan
0.44 0.15 -nan
0.44 0.17 -nan
0.44 0.20 -nan
0.44 0.23 -nan
0.44 0.25 -nan
0.44 0.28 -nan
0.00 0.00 -nan
0.46 0.05 -nan
0.46 0.08 -nan
0.46 0.10 -nan
0.46 0.12 -nan
0.46 0.15 -nan
0.46 0.17 -nan
0.46 0.20 -nan
0.46 0.23 -nan
0.46 0.25 -nan
0.46 0.28 -nan
0.00 0.00 -nan
0.48 0.05 -nan
0.48 0.08 -nan
0.48 0.10 -nan
0.48 0.12 -nan
0.48 0.15 -nan
0.48 0.17 -nan
0.48 0.20 -nan
0.48 0.23 -nan
0.48 0.25 -nan
0.48 0.28 -nan
0.00 0.00 -nan
0.50 0.05 -nan
0.50 0.08 -nan
0.50 0.10 -nan
0.50 0.12 -nan
0.50 0.15 -nan
0.50 0.17 -nan
0.50 0.20 -nan
0.50 0.23 -nan
0.50 0.25 -nan
0.50 0.28 -nan
0.00 0.00 -nan
0.52 0.05 -nan
0.52 0.08 -nan
0.52 0.10 -nan
0.52 0.12 -nan
0.52 0.15 -nan
0.52 0.17 -nan
0.52 0.20 -nan
0.52 0.23 -nan
0.52 0.25 -nan
0.52 0.28 -nan
0.00 0.00 -nan
0.54 0.05 -nan
0.54 0.08 -nan
0.54 0.10 -nan
0.54 0.12 -nan
0.54 0.15 -nan
0.54 0.17 -nan
0.54 0.20 -nan
0.54 0.23 -nan
0.54 0.25 -nan
0.54 0.28 -nan
0.00 0.00 -nan
0.56 0.05 -nan
0.56 0.08 -nan
0.56 0.10 -nan
0.56 0.12 -nan
0.56 0.15 -nan
0.56 0.17 -nan
0.56 0.20 -nan
0.56 0.23 -nan
0.56 0.25 -nan
0.56 0.28 -nan
0.00 0.00 -nan
0.58 0.05 -nan
0.58 0.08 -nan
0.58 0.10 -nan
0.58 0.12 -nan
0.58 0.15 -nan
0.58 0.17 -nan
0.58 0.20 -nan
0.58 0.23 -nan
0.58 0.25 -nan
0.58 0.28 -nan
0.00 0.00 -nan
0.60 0.05 -nan
0.60 0.08 -nan
0.60 0.10 -nan
0.60 0.12 -nan
0.60 0.15 -nan
0.60 0.17 -nan
0.60 0.20 -nan
0.60 0.23 -nan
0.60 0.25 -nan
0.60 0.28 -nan
0.00 0.00 -nan
0.62 0.05 -nan
0.62 0.08 -nan
0.62 0.10 -nan
0.62 0.12 -nan
0.62 0.15 -nan
0.62 0.17 -nan
0.62 0.20 -nan
0.62 0.23 -nan
0.62 0.25 -nan
0.62 0.28 -nan
0.00 0.00 -nan
0.64 0.05 -nan
0.64 0.08 -nan
0.64 0.10 -nan
0.64 0.12 -nan
0.64 0.15 -nan
0.64 0.17 -nan
0.64 0.20 -nan
0.64 0.23 -nan
0.64 0.25 -nan
0.64 0.28 -nan
0.00 0.00 -nan
0.66 0.05 -nan
0.66 0.08 -nan
0.66 0.10 -nan
0.66 0.12 -nan
0.66 0.15 -nan
0.66 0.17 -nan
0.66 0.20 -nan
0.66 0.23 -nan
0.66 0.25 -nan
0.66 0.28 -nan
0.00 0.00 -nan
0.68 0.05 -nan
0.68 0.08 -nan
0.68 0.10 -nan
0.68 0.12 -nan
0.68 0.15 -nan
0.68 0.17 -nan
0.68 0.20 -nan
0.68 0.23 -nan
