x                 ,y              rho[i][j],    u[i][j],    v[i][j],      p[i][j],      T[i][j],      Ma[i][j]
0.0000000000    0.0000000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0060000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.0120000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.0180000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.0240000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0300000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0360000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0420000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.0480000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.0540000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0600000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0660000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0720000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0780000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0840000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0900000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.0960000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.1020000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.1080000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0000000000    0.1140000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.1200000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0000000000    0.1260000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166897    299.9669158622    1.7998610376
0.0000000000    0.1320000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166890    299.9669158622    1.7998610376
0.0000000000    0.1380000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166870    299.9669158622    1.7998610376
0.0000000000    0.1440000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166801    299.9669158622    1.7998610376
0.0000000000    0.1500000000    1.1768617935    624.9222859459    0.0000000001    101337.8071166582    299.9669158622    1.7998610376
0.0000000000    0.1560000000    1.1768617935    624.9222859460    0.0000000002    101337.8071165876    299.9669158622    1.7998610376
0.0000000000    0.1620000000    1.1768617935    624.9222859463    0.0000000006    101337.8071163601    299.9669158620    1.7998610376
0.0000000000    0.1680000000    1.1768617935    624.9222859473    0.0000000020    101337.8071156274    299.9669158613    1.7998610376
0.0000000000    0.1740000000    1.1768617934    624.9222859506    0.0000000063    101337.8071132675    299.9669158593    1.7998610376
0.0000000000    0.1800000000    1.1768617934    624.9222859610    0.0000000203    101337.8071056668    299.9669158529    1.7998610377
0.0000000000    0.1860000000    1.1768617932    624.9222859945    0.0000000654    101337.8070811871    299.9669158322    1.7998610378
0.0000000000    0.1920000000    1.1768617925    624.9222861025    0.0000002105    101337.8070023425    299.9669157655    1.7998610383
0.0000000000    0.1980000000    1.1768617904    624.9222864502    0.0000006781    101337.8067484005    299.9669155508    1.7998610400
0.0000000000    0.2040000000    1.1768617836    624.9222875703    0.0000021840    101337.8059305062    299.9669148590    1.7998610453
0.0000000000    0.2100000000    1.1768617618    624.9222911777    0.0000070343    101337.8032962396    299.9669126311    1.7998610623
0.0000000000    0.2160000000    1.1768616914    624.9223027965    0.0000226560    101337.7948118166    299.9669054553    1.7998611173
0.0000000000    0.2220000000    1.1768614647    624.9223402182    0.0000729702    101337.7674852565    299.9668823438    1.7998612945
0.0000000000    0.2280000000    1.1768607346    624.9224607455    0.0002350219    101337.6794720536    299.9668079063    1.7998618649
0.0000000000    0.2340000000    1.1768583832    624.9228489381    0.0007569594    101337.3959992817    299.9665681594    1.7998637022
0.0000000000    0.2400000000    1.1768508096    624.9240992177    0.0024380387    101336.4829861687    299.9657959896    1.7998696198
0.0000000000    0.2460000000    1.1768264152    624.9281260260    0.0078527309    101333.5422939447    299.9633090441    1.7998886790
0.0000000000    0.2520000000    1.1767478331    624.9410946971    0.0252952993    101324.0702359238    299.9552996538    1.7999500627
0.0000000000    0.2580000000    1.1764946011    624.9828554556    0.0815050300    101293.5554132378    299.9295086869    1.8001477479
0.0000000000    0.2640000000    1.1756775859    625.1172708058    0.2628647234    101195.1973345600    299.8464991345    1.8007842634
0.0000000000    0.2700000000    1.1730314070    625.5493548315    0.8502976754    100877.6010289144    299.5797300239    1.8028326350
0.0000000000    0.2760000000    1.1643510235    626.9342832728    2.7764283380    99845.8358558842    298.7262225959    1.8094194170
0.0000000000    0.2820000000    1.1344534382    631.3517398265    9.3393897869    96418.4007184316    296.0742020053    1.8304937549
0.0000000000    0.2880000000    1.0251071596    648.0069703941    35.3922241459    84071.6692904076    285.6983442005    1.9152357878
0.0040000000    0.0000000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0040000000    0.0060000000    1.1768617935    624.9222859459    0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0040000000    0.0120000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166899    299.9669158622    1.7998610376
0.0040000000    0.0180000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
0.0040000000    0.0240000000    1.1768617935    624.9222859459    -0.0000000000    101337.8071166900    299.9669158622    1.7998610376
